属性标识符,时间(ms),时间,属性值,原始JSON
CO2Value,1780276519255,2026-06-01 09:15:19,451,"{""time"": 1780276519255, ""value"": ""451""}"
CO2Value,1780276524263,2026-06-01 09:15:24,454,"{""time"": 1780276524263, ""value"": ""454""}"
CO2Value,1780276529388,2026-06-01 09:15:29,454,"{""time"": 1780276529388, ""value"": ""454""}"
CO2Value,1780276534259,2026-06-01 09:15:34,455,"{""time"": 1780276534259, ""value"": ""455""}"
CO2Value,1780276539262,2026-06-01 09:15:39,456,"{""time"": 1780276539262, ""value"": ""456""}"
CO2Value,1780276544428,2026-06-01 09:15:44,458,"{""time"": 1780276544428, ""value"": ""458""}"
CO2Value,1780276549262,2026-06-01 09:15:49,458,"{""time"": 1780276549262, ""value"": ""458""}"
CO2Value,1780276554263,2026-06-01 09:15:54,457,"{""time"": 1780276554263, ""value"": ""457""}"
CO2Value,1780276559262,2026-06-01 09:15:59,458,"{""time"": 1780276559262, ""value"": ""458""}"
CO2Value,1780276564264,2026-06-01 09:16:04,457,"{""time"": 1780276564264, ""value"": ""457""}"
CO2Value,1780276569265,2026-06-01 09:16:09,456,"{""time"": 1780276569265, ""value"": ""456""}"
CO2Value,1780276574262,2026-06-01 09:16:14,455,"{""time"": 1780276574262, ""value"": ""455""}"
CO2Value,1780276579260,2026-06-01 09:16:19,456,"{""time"": 1780276579260, ""value"": ""456""}"
CO2Value,1780276584270,2026-06-01 09:16:24,457,"{""time"": 1780276584270, ""value"": ""457""}"
CO2Value,1780276589260,2026-06-01 09:16:29,458,"{""time"": 1780276589260, ""value"": ""458""}"
CO2Value,1780276594321,2026-06-01 09:16:34,460,"{""time"": 1780276594321, ""value"": ""460""}"
CO2Value,1780276599261,2026-06-01 09:16:39,463,"{""time"": 1780276599261, ""value"": ""463""}"
CO2Value,1780276604256,2026-06-01 09:16:44,464,"{""time"": 1780276604256, ""value"": ""464""}"
CO2Value,1780276609293,2026-06-01 09:16:49,464,"{""time"": 1780276609293, ""value"": ""464""}"
CO2Value,1780276614261,2026-06-01 09:16:54,466,"{""time"": 1780276614261, ""value"": ""466""}"
CO2Value,1780276619258,2026-06-01 09:16:59,466,"{""time"": 1780276619258, ""value"": ""466""}"
CO2Value,1780276624267,2026-06-01 09:17:04,467,"{""time"": 1780276624267, ""value"": ""467""}"
CO2Value,1780276629255,2026-06-01 09:17:09,466,"{""time"": 1780276629255, ""value"": ""466""}"
CO2Value,1780276634253,2026-06-01 09:17:14,466,"{""time"": 1780276634253, ""value"": ""466""}"
CO2Value,1780276639318,2026-06-01 09:17:19,465,"{""time"": 1780276639318, ""value"": ""465""}"
CO2Value,1780276644253,2026-06-01 09:17:24,467,"{""time"": 1780276644253, ""value"": ""467""}"
CO2Value,1780276649252,2026-06-01 09:17:29,466,"{""time"": 1780276649252, ""value"": ""466""}"
CO2Value,1780276654251,2026-06-01 09:17:34,464,"{""time"": 1780276654251, ""value"": ""464""}"
CO2Value,1780276659275,2026-06-01 09:17:39,465,"{""time"": 1780276659275, ""value"": ""465""}"
CO2Value,1780276664253,2026-06-01 09:17:44,466,"{""time"": 1780276664253, ""value"": ""466""}"
CO2Value,1780276669263,2026-06-01 09:17:49,466,"{""time"": 1780276669263, ""value"": ""466""}"
CO2Value,1780276674263,2026-06-01 09:17:54,466,"{""time"": 1780276674263, ""value"": ""466""}"
CO2Value,1780276679250,2026-06-01 09:17:59,465,"{""time"": 1780276679250, ""value"": ""465""}"
